dths_isch_0_74_2_rate_1_08_12_12, dths_tot_0_74_2_rate_1_08_12_12, area_code, area_name, dths_canc_0_74_2_rate_1_08_12_12, dth_dia_0_74_2_rate_1_08_12_12
25.3245678013318,217.737633196443,20110,"Alpine (S)",90.4996873521019,null
28.6767898545284,310.710373195508,20260,"Ararat (RC)",127.202416894975,7.15604454724644
24.3785321236702,272.713710825711,20570,"Ballarat (C)",108.898853056264,6.57033901520056
16.4998536561088,197.233978676886,20660,"Banyule (C)",92.9988784808975,3.99257150683635
21.849796055084,228.854805601703,20740,"Bass Coast (S)",97.7067842142858,5.3573176293173
21.5354279039957,239.376485219089,20830,"Baw Baw (S)",100.356542734089,6.0023005926372
11.2545158677174,168.155158684725,20910,"Bayside (C)",82.9693396047244,3.29110029924942
25.6060035237732,280.07212434893,21010,"Benalla (RC)",129.763444184165,null
13.286631148734,150.961177324633,21110,"Boroondara (C)",75.0199038908681,2.40375121688537
25.6200789309956,235.887105874331,21180,"Brimbank (C)",95.2568807507438,10.4225161019683
32.1302664616368,317.358357988809,21270,"Buloke (S)",138.648067019936,null
31.7503698531599,262.186564223855,21370,"Campaspe (S)",104.067500249392,6.00645230580209
20.700205645826,230.186332897017,21450,"Cardinia (S)",101.98501154169,5.48647168386814
24.0213034549692,226.664218196092,21610,"Casey (C)",96.6234377430868,4.93647820976723
38.9045439494985,349.651217059718,21670,"Central Goldfields (S)",156.309435677222,15.3112185945895
28.1912309372817,277.85903165112,21750,"Colac-Otway (S)",108.587666104039,4.24478804335574
30.2750138504508,266.840859599914,21830,"Corangamite (S)",119.333029779304,10.2694676555605
25.3576572136203,241.399149327839,21890,"Darebin (C)",102.176985882607,4.91799132186188
29.6166465172838,271.168999206375,22110,"East Gippsland (S)",113.278756570687,5.60498149023541
28.962313795845,260.735460353631,22170,"Frankston (C)",107.71314478375,5.19576455428038
25.2670154908921,266.963199016516,22250,"Gannawarra (S)",126.961856373093,8.24601829351622
17.756517789736,185.628426836863,22310,"Glen Eira (C)",91.8996741771904,3.42894304174716
29.6614345388968,238.738603384106,22410,"Glenelg (S)",95.4355287012532,4.35748949181538
26.6742446264028,206.008007256578,22490,"Golden Plains (S)",93.8896376831697,5.67527612052395
26.4550010268492,253.393988500193,22620,"Greater Bendigo (C)",106.174961427447,6.52518464699354
26.9225527013454,254.440749706207,22670,"Greater Dandenong (C)",101.396276425746,8.40039014871122
26.2746158494231,250.861565844814,22750,"Greater Geelong (C)",113.165451695974,5.98230977893593
27.7056294653743,266.714550393064,22830,"Greater Shepparton (C)",110.753292995315,6.81464162507718
30.3937164399131,275.642811914375,22910,"Hepburn (S)",118.21936293908,7.25465811710063
35.9942293142065,282.437397783823,22980,"Hindmarsh (S)",133.163183910871,null
30.3044305551268,259.555302953401,23110,"Hobsons Bay (C)",116.293323956154,5.85647021894895
28.6745714899469,250.92062399158,23190,"Horsham (RC)",101.25078837121,11.7803495943702
27.3084070504872,239.042411400865,23270,"Hume (C)",101.013145436208,7.10381925325525
22.132558093741,216.774598475391,23350,"Indigo (S)",106.966930908538,null
20.7268338728973,219.936633019863,23430,"Kingston (C)",101.10484288162,4.43466008988757
21.320629995815,200.331206460182,23670,"Knox (C)",93.189539090318,4.08090359744584
36.2428195194567,297.193183299897,23810,"Latrobe (C)",119.657067324588,10.781868086621
41.3433755861714,302.849094968198,23940,"Loddon (S)",122.128659990585,12.8502705978108
15.0975094216408,203.368643542229,24130,"Macedon Ranges (S)",96.6552846974057,5.09102125956733
12.7300236848044,152.71646532955,24210,"Manningham (C)",75.1981890764381,2.13314577131201
25.4709365891257,176.670836465696,24250,"Mansfield (S)",67.9260002096527,null
31.8578475547443,267.47986505241,24330,"Maribyrnong (C)",106.059560441046,9.38652197411146
16.6930574225043,211.039044970063,24410,"Maroondah (C)",98.1788134600224,3.02251967438856
21.9617222164701,192.645941609102,24600,"Melbourne (C)",76.9090170763766,3.59759596548576
30.1689118638374,230.414466344687,24650,"Melton (S)",99.0253001986389,8.22739891127158
27.3541500703347,264.01006572362,24780,"Mildura (RC)",111.687297744563,6.13177765017822
26.346576950778,272.688895769666,24850,"Mitchell (S)",125.516475222947,9.32720820944021
27.8444596132224,271.801294368188,24900,"Moira (S)",111.912881801746,3.90418453057907
13.1585985186877,165.933331136617,24970,"Monash (C)",80.0476933055441,3.94524588289776
19.792777150374,204.988783159467,25060,"Moonee Valley (C)",91.5085432736059,6.4026550452823
17.7495210945545,245.227963012905,25150,"Moorabool (S)",117.779928961833,5.27780897598499
24.2967102452626,218.631606036603,25250,"Moreland (C)",98.3280674655532,7.56747701535588
22.9486577565126,212.212945973532,25340,"Mornington Peninsula (S)",94.8520182357723,3.79130414052945
28.6733717509369,245.20080709022,25430,"Mount Alexander (S)",114.37477073944,4.33882040768997
20.9034658002881,235.979019047373,25490,"Moyne (S)",112.315875252186,null
24.7649101290425,328.820109755206,25620,"Murrindindi (S)",101.039219246553,5.88014885748791
14.6332356343853,162.84474673653,25710,"Nillumbik (S)",81.1612294887034,3.68438466228389
29.958091378346,316.131064209381,25810,"Northern Grampians (S)",128.007218752402,8.09794163651557
27.2987775017289,234.343585976768,25900,"Port Phillip (C)",96.7318009283475,4.80926822637932
30.2179051079843,294.677338774287,25990,"Pyrenees (S)",127.03524912942,null
30.1316398911119,197.897691415945,26080,"Queenscliffe (B)",108.954329035971,null
27.0705644734756,219.094228350741,26170,"South Gippsland (S)",89.8933274279913,6.40260928147562
25.0638658420407,261.525765366679,26260,"Southern Grampians (S)",110.59838099845,5.16293967001532
